disaster_id,task_id,task_uuid
15,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
16,2,169ea806-2c1b-4c14-9408-83b101701910
16,3,01dde64c-584b-4329-a29f-a7e546f122f9
16,6,0e66bc62-3af2-41a5-9056-37eb16869548
16,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
16,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
16,10,5f5222c5-b626-40e1-a433-cf8e9640608b
16,12,e4ff431e-73d9-42a7-a627-b14c39fca011
16,15,ef089e3c-071f-4498-8075-73405abe96af
16,20,144be296-f90c-4ed1-a65a-c101f16ab47e
16,21,6e585358-15b1-4742-927f-4050f6b863d2
16,22,d8f87634-37ed-40d1-bf9f-492c260214e0
16,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
16,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
16,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
16,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
17,2,169ea806-2c1b-4c14-9408-83b101701910
17,3,01dde64c-584b-4329-a29f-a7e546f122f9
17,6,0e66bc62-3af2-41a5-9056-37eb16869548
17,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
17,8,85caf5bf-6387-4b05-83b6-deaf43985d70
17,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
17,10,5f5222c5-b626-40e1-a433-cf8e9640608b
17,11,1eb54fb3-76fb-44f3-8d74-0d20efed54b2
17,12,e4ff431e-73d9-42a7-a627-b14c39fca011
17,15,ef089e3c-071f-4498-8075-73405abe96af
17,19,23671fe7-6938-4029-bec2-893f55288697
17,20,144be296-f90c-4ed1-a65a-c101f16ab47e
17,22,d8f87634-37ed-40d1-bf9f-492c260214e0
17,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
17,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
17,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
17,26,182aee37-183a-49fa-9c74-26a73535216d
17,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
17,30,eaef7992-9324-4da6-aba0-18076ff9c554
18,2,169ea806-2c1b-4c14-9408-83b101701910
18,6,0e66bc62-3af2-41a5-9056-37eb16869548
18,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
18,8,85caf5bf-6387-4b05-83b6-deaf43985d70
18,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
18,10,5f5222c5-b626-40e1-a433-cf8e9640608b
18,12,e4ff431e-73d9-42a7-a627-b14c39fca011
18,15,ef089e3c-071f-4498-8075-73405abe96af
18,19,23671fe7-6938-4029-bec2-893f55288697
18,20,144be296-f90c-4ed1-a65a-c101f16ab47e
18,22,d8f87634-37ed-40d1-bf9f-492c260214e0
18,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
18,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
18,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
18,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
19,2,169ea806-2c1b-4c14-9408-83b101701910
19,3,01dde64c-584b-4329-a29f-a7e546f122f9
19,6,0e66bc62-3af2-41a5-9056-37eb16869548
19,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
19,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
19,10,5f5222c5-b626-40e1-a433-cf8e9640608b
19,12,e4ff431e-73d9-42a7-a627-b14c39fca011
19,15,ef089e3c-071f-4498-8075-73405abe96af
19,16,db28405a-a4e5-4378-80dc-3270af4365cf
19,17,6331faef-d6c8-437b-950c-139cd6ce7874
19,18,1e54d839-db32-4337-99ab-a970bab9a79a
19,19,23671fe7-6938-4029-bec2-893f55288697
19,20,144be296-f90c-4ed1-a65a-c101f16ab47e
19,22,d8f87634-37ed-40d1-bf9f-492c260214e0
19,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
19,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
19,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
19,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
19,30,eaef7992-9324-4da6-aba0-18076ff9c554
20,2,169ea806-2c1b-4c14-9408-83b101701910
20,3,01dde64c-584b-4329-a29f-a7e546f122f9
20,6,0e66bc62-3af2-41a5-9056-37eb16869548
20,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
20,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
20,10,5f5222c5-b626-40e1-a433-cf8e9640608b
20,11,1eb54fb3-76fb-44f3-8d74-0d20efed54b2
20,12,e4ff431e-73d9-42a7-a627-b14c39fca011
20,22,d8f87634-37ed-40d1-bf9f-492c260214e0
